Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Chandigarh, 31-08-2021, M, 7.62, 295512.00, 31.72
Chhattisgarh, 30-09-2020, M, 5.24, 2277312.00, 42.80
Chhattisgarh, 31-10-2020, M, 8.18, 2255153.00, 43.63
Chhattisgarh, 30-11-2020, M, 4.24, 2169263.00, 40.15
Chhattisgarh, 31-12-2020, M, 5.26, 2098898.00, 39.17
Chhattisgarh, 31-01-2021, M, 5.28, 2303194.00, 42.88
Chhattisgarh, 28-02-2021, M, 6.47, 2296190.00, 43.20
Chhattisgarh, 31-03-2021, M, 3.32, 2258407.00, 41.01
Chhattisgarh, 30-04-2021, M, 1.90, 2405634.00, 42.94
Chhattisgarh, 31-05-2021, M, 3.74, 2294277.00, 41.63
Chhattisgarh, 30-06-2021, M, 3.31, 2387240.00, 43.03
Chhattisgarh, 31-07-2021, M, 1.81, 2299903.00, 40.72
Chhattisgarh, 31-08-2021, M, 3.39, 2294300.00, 41.18
Delhi, 30-09-2020, M, 12.64, 4813863.00, 35.71
Delhi, 31-10-2020, M, 6.19, 4710193.00, 32.46
Delhi, 30-11-2020, M, 6.55, 4903210.00, 33.84
Delhi, 31-12-2020, M, 7.49, 5202146.00, 36.18
Delhi, 31-01-2021, M, 12.57, 5014724.00, 36.81
Delhi, 28-02-2021, M, 8.02, 5035622.00, 35.06
Delhi, 31-03-2021, M, 9.37, 4969192.00, 35.03
Delhi, 30-04-2021, M, 27.68, 4028115.00, 35.50
Delhi, 31-05-2021, M, 46.25, 2760409.00, 32.65
Delhi, 30-06-2021, M, 8.47, 4976895.00, 34.49
Delhi, 31-07-2021, M, 10.73, 4850709.00, 34.38
Delhi, 31-08-2021, M, 11.58, 4922386.00, 35.14
Goa, 30-09-2020, M, 21.78, 268763.00, 42.26
Goa, 31-10-2020, M, 6.12, 243180.00, 31.82
Goa, 30-11-2020, M, 16.95, 223135.00, 32.96
Goa, 31-12-2020, M, 10.53, 289057.00, 39.58
Goa, 31-01-2021, M, 20.00, 261504.00, 40.00
Goa, 28-02-2021, M, 20.00, 286879.00, 43.83
Goa, 31-03-2021, M, 15.38, 253117.00, 36.52
Goa, 30-04-2021, M, 31.03, 227829.00, 40.28
Goa, 31-05-2021, M, 22.73, 290852.00, 45.83
Goa, 30-06-2021, M, 16.07, 274080.00, 39.72
Goa, 31-07-2021, M, 19.61, 259653.00, 39.23
Goa, 31-08-2021, M, 12.68, 295427.00, 41.04
Gujarat, 30-09-2020, M, 3.67, 9969698.00, 41.04
Gujarat, 31-10-2020, M, 5.68, 11435921.00, 47.96
Gujarat, 30-11-2020, M, 2.79, 9845883.00, 39.97
Gujarat, 31-12-2020, M, 5.09, 9699852.00, 40.23
Gujarat, 31-01-2021, M, 3.31, 10116645.00, 41.08
Gujarat, 28-02-2021, M, 3.35, 10599802.00, 42.96
Gujarat, 31-03-2021, M, 2.18, 9999748.00, 39.94
Gujarat, 30-04-2021, M, 1.99, 10580660.00, 42.08
Gujarat, 31-05-2021, M, 2.35, 10467889.00, 41.68
Gujarat, 30-06-2021, M, 2.14, 10636113.00, 42.15
Gujarat, 31-07-2021, M, 3.04, 10306416.00, 41.12
Gujarat, 31-08-2021, M, 2.12, 10691403.00, 42.15
Haryana, 30-09-2020, M, 28.80, 2461725.00, 40.02
Haryana, 31-10-2020, M, 21.09, 2464280.00, 36.05
Haryana, 30-11-2020, M, 38.12, 2362602.00, 43.96
Haryana, 31-12-2020, M, 37.82, 2448109.00, 45.21
Haryana, 31-01-2021, M, 27.96, 2561204.00, 40.72
Haryana, 28-02-2021, M, 19.55, 2535406.00, 36.00
Haryana, 31-03-2021, M, 37.27, 2420509.00, 43.96
Haryana, 30-04-2021, M, 41.52, 2425486.00, 47.13
Haryana, 31-05-2021, M, 41.39, 2095161.00, 40.51
Haryana, 30-06-2021, M, 24.35, 2467316.00, 36.87
Haryana, 31-07-2021, M, 38.40, 2438210.00, 44.62
Haryana, 31-08-2021, M, 39.21, 2479066.00, 45.85
Himachal Pradesh, 30-09-2020, M, 11.84, 231828.00, 42.22
Himachal Pradesh, 31-10-2020, M, 13.81, 210605.00, 39.18
Himachal Pradesh, 30-11-2020, M, 18.18, 208708.00, 40.84
Himachal Pradesh, 31-12-2020, M, 14.67, 221162.00, 41.44
Himachal Pradesh, 31-01-2021, M, 12.61, 228413.00, 41.73
Himachal Pradesh, 28-02-2021, M, 16.22, 208612.00, 39.70
Himachal Pradesh, 31-03-2021, M, 17.24, 221211.00, 42.56
Himachal Pradesh, 30-04-2021, M, 15.32, 210318.00, 39.49
Himachal Pradesh, 31-05-2021, M, 15.74, 199710.00, 37.63
Himachal Pradesh, 30-06-2021, M, 14.18, 201483.00, 37.22
Himachal Pradesh, 31-07-2021, M, 17.86, 218695.00, 42.15
Himachal Pradesh, 31-08-2021, M, 1.27, 228417.00, 36.57
Jammu & Kashmir, 30-09-2020, M, 14.93, 934200.00, 33.67
Jammu & Kashmir, 31-10-2020, M, 9.43, 1002715.00, 33.87
Jammu & Kashmir, 30-11-2020, M, 12.88, 1043857.00, 36.57
Jammu & Kashmir, 31-12-2020, M, 24.80, 801755.00, 32.46
Jammu & Kashmir, 31-01-2021, M, 25.00, 1058284.00, 42.86
Jammu & Kashmir, 28-02-2021, M, 15.69, 1058803.00, 38.06
Jammu & Kashmir, 31-03-2021, M, 10.00, 896583.00, 30.12
Jammu & Kashmir, 30-04-2021, M, 14.17, 877759.00, 30.85
Jammu & Kashmir, 31-05-2021, M, 17.39, 1127427.00, 41.07
Jammu & Kashmir, 30-06-2021, M, 18.23, 1009474.00, 37.07
Jammu & Kashmir, 31-07-2021, M, 16.26, 1088207.00, 38.92
Jammu & Kashmir, 31-08-2021, M, 18.83, 864414.00, 31.82
Jharkhand, 30-09-2020, M, 13.84, 2340012.00, 39.21
Jharkhand, 31-10-2020, M, 13.41, 2302392.00, 38.31
Jharkhand, 30-11-2020, M, 13.46, 2373300.00, 39.44
Jharkhand, 31-12-2020, M, 19.67, 2293273.00, 40.97
Jharkhand, 31-01-2021, M, 19.22, 2371666.00, 42.05
Jharkhand, 28-02-2021, M, 16.57, 2276550.00, 39.01
Jharkhand, 31-03-2021, M, 12.70, 2428331.00, 39.69
Jharkhand, 30-04-2021, M, 23.25, 2264236.00, 42.01
Jharkhand, 31-05-2021, M, 26.91, 2131480.00, 41.45
Jharkhand, 30-06-2021, M, 21.92, 2268457.00, 41.22
Jharkhand, 31-07-2021, M, 12.18, 2518844.00, 40.61
Jharkhand, 31-08-2021, M, 18.56, 2374302.00, 41.20
Karnataka, 30-09-2020, M, 2.02, 8467104.00, 36.43
Karnataka, 31-10-2020, M, 2.30, 8627263.00, 37.13
Karnataka, 30-11-2020, M, 1.45, 8581514.00, 36.52
Karnataka, 31-12-2020, M, 1.79, 8914962.00, 37.97
Karnataka, 31-01-2021, M, 2.44, 8708864.00, 37.24
Karnataka, 28-02-2021, M, 2.45, 8508768.00, 36.30
Karnataka, 31-03-2021, M, 1.43, 8435857.00, 35.52
Karnataka, 30-04-2021, M, 2.18, 8713802.00, 36.88
Karnataka, 31-05-2021, M, 6.90, 8698973.00, 38.58
Karnataka, 30-06-2021, M, 10.43, 7840758.00, 36.06
Karnataka, 31-07-2021, M, 1.61, 8547933.00, 35.69
Karnataka, 31-08-2021, M, 2.52, 8782131.00, 36.91
Kerala, 30-09-2020, M, 5.03, 4150948.00, 32.18
Kerala, 31-10-2020, M, 4.23, 4234143.00, 32.52
Kerala, 30-11-2020, M, 4.55, 3796322.00, 29.23
Kerala, 31-12-2020, M, 6.51, 4567893.00, 35.87
Kerala, 31-01-2021, M, 5.53, 4136604.00, 32.12
Kerala, 28-02-2021, M, 4.16, 4370149.00, 33.42
Kerala, 31-03-2021, M, 4.97, 3915163.00, 30.17
Kerala, 30-04-2021, M, 6.39, 4523245.00, 35.34
Kerala, 31-05-2021, M, 25.51, 3348144.00, 32.85
Kerala, 30-06-2021, M, 18.46, 3831825.00, 34.31
Kerala, 31-07-2021, M, 6.45, 3854226.00, 30.05
Kerala, 31-08-2021, M, 7.24, 4548519.00, 35.73
Madhya Pradesh, 30-09-2020, M, 8.43, 6782178.00, 39.96
Madhya Pradesh, 31-10-2020, M, 5.49, 6504445.00, 37.04
Madhya Pradesh, 30-11-2020, M, 6.72, 6604184.00, 38.02
Madhya Pradesh, 31-12-2020, M, 2.07, 6502553.00, 35.58
Madhya Pradesh, 31-01-2021, M, 7.64, 6757814.00, 39.11
Madhya Pradesh, 28-02-2021, M, 3.43, 6478461.00, 35.79
Madhya Pradesh, 31-03-2021, M, 2.89, 6490166.00, 35.57
Madhya Pradesh, 30-04-2021, M, 2.06, 6168849.00, 33.45
Madhya Pradesh, 31-05-2021, M, 6.24, 5950992.00, 33.63
Madhya Pradesh, 30-06-2021, M, 4.60, 6524045.00, 36.15
Madhya Pradesh, 31-07-2021, M, 4.42, 6719473.00, 37.08
Madhya Pradesh, 31-08-2021, M, 3.67, 6681207.00, 36.50
Maharashtra, 30-09-2020, M, 6.58, 16646849.00, 36.48
Maharashtra, 31-10-2020, M, 5.90, 16935060.00, 36.76
Maharashtra, 30-11-2020, M, 3.53, 17269283.00, 36.49
Maharashtra, 31-12-2020, M, 4.85, 16510893.00, 35.30
Maharashtra, 31-01-2021, M, 4.60, 17371046.00, 36.95
Maharashtra, 28-02-2021, M, 4.65, 16925680.00, 35.95
Maharashtra, 31-03-2021, M, 4.73, 17271506.00, 36.64
Maharashtra, 30-04-2021, M, 5.38, 16791044.00, 35.78
Maharashtra, 31-05-2021, M, 7.62, 16561000.00, 36.07
Maharashtra, 30-06-2021, M, 5.89, 16861675.00, 35.97
Maharashtra, 31-07-2021, M, 5.91, 17285856.00, 36.80
Maharashtra, 31-08-2021, M, 5.95, 16664466.00, 35.42
Meghalaya, 30-09-2020, M, 8.96, 230205.00, 46.53
Meghalaya, 31-10-2020, M, 6.67, 220422.00, 43.35
Meghalaya, 30-11-2020, M, 6.02, 252019.00, 49.11
Meghalaya, 31-12-2020, M, 12.12, 228400.00, 47.48
Meghalaya, 31-01-2021, M, 6.35, 258990.00, 50.40
Meghalaya, 28-02-2021, M, 3.49, 224842.00, 42.36
Meghalaya, 31-03-2021, M, 3.87, 284212.00, 53.63
Meghalaya, 30-04-2021, M, 1.96, 260641.00, 48.11
Meghalaya, 30-06-2021, M, 3.23, 205636.00, 38.27
Meghalaya, 31-07-2021, M, 2.06, 300422.00, 55.11
Meghalaya, 31-08-2021, M, 3.12, 260089.00, 48.12
Odisha, 30-09-2020, M, 2.42, 2446109.00, 38.69
Odisha, 31-10-2020, M, 0.20, 2351464.00, 36.29
Odisha, 30-11-2020, M, 0.78, 2629819.00, 40.75
Odisha, 31-12-2020, M, 0.95, 2464791.00, 38.19
Odisha, 31-01-2021, M, 3.69, 2429399.00, 38.64
Odisha, 28-02-2021, M, 3.12, 2333868.00, 36.84
Odisha, 31-03-2021, M, 1.51, 2464939.00, 38.20
Odisha, 30-04-2021, M, 0.80, 2426412.00, 37.26
Odisha, 31-05-2021, M, 8.62, 2331299.00, 38.80
Odisha, 30-06-2021, M, 5.73, 2245626.00, 36.16
Odisha, 31-07-2021, M, 1.29, 2650553.00, 40.68
Odisha, 31-08-2021, M, 1.33, 2493084.00, 38.21
Puducherry, 30-09-2020, M, 11.90, 237155.00, 32.31
Puducherry, 31-10-2020, M, 5.23, 274572.00, 34.69
Puducherry, 30-11-2020, M, 2.03, 269056.00, 32.82
Puducherry, 31-12-2020, M, 4.23, 261013.00, 32.49
Puducherry, 31-01-2021, M, 6.83, 262124.00, 33.47
Puducherry, 28-02-2021, M, 4.61, 274429.00, 34.16
Puducherry, 31-03-2021, M, 1.33, 275766.00, 33.11
Puducherry, 30-04-2021, M, 3.31, 267309.00, 32.68
Puducherry, 31-05-2021, M, 31.11, 193946.00, 33.21
Puducherry, 30-06-2021, M, 43.18, 155025.00, 32.12
Puducherry, 31-07-2021, M, 7.05, 273130.00, 34.51
Puducherry, 31-08-2021, M, 6.71, 300122.00, 37.70
Punjab, 30-09-2020, M, 4.66, 2991736.00, 32.00
Punjab, 31-10-2020, M, 7.56, 2965540.00, 32.65
Punjab, 30-11-2020, M, 7.68, 3409009.00, 37.51
Punjab, 31-12-2020, M, 8.52, 3403575.00, 37.72
Punjab, 31-01-2021, M, 3.84, 3120321.00, 32.83
Punjab, 28-02-2021, M, 4.95, 3117808.00, 33.13
Punjab, 31-03-2021, M, 8.01, 3453859.00, 37.84
Punjab, 30-04-2021, M, 9.64, 3287379.00, 36.60
Punjab, 31-05-2021, M, 7.78, 2952629.00, 32.14
Punjab, 30-06-2021, M, 5.42, 3098350.00, 32.82
Punjab, 31-07-2021, M, 7.58, 3496736.00, 37.83
Punjab, 31-08-2021, M, 10.84, 3256170.00, 36.45
Rajasthan, 30-09-2020, M, 24.77, 5135127.00, 43.86
Rajasthan, 31-10-2020, M, 24.59, 5166467.00, 43.91
Rajasthan, 30-11-2020, M, 22.93, 5239177.00, 43.48
Rajasthan, 31-12-2020, M, 29.66, 4939234.00, 44.80
Rajasthan, 31-01-2021, M, 27.31, 5143447.00, 45.03
Rajasthan, 28-02-2021, M, 25.69, 5123635.00, 43.79
Rajasthan, 31-03-2021, M, 25.36, 5170883.00, 43.89
Rajasthan, 30-04-2021, M, 30.12, 4945235.00, 44.73
Rajasthan, 31-05-2021, M, 42.40, 4085571.00, 44.73
Rajasthan, 30-06-2021, M, 27.13, 5152843.00, 44.49
Rajasthan, 31-07-2021, M, 27.72, 5186609.00, 45.04
Rajasthan, 31-08-2021, M, 31.26, 5183761.00, 47.22
Sikkim, 30-09-2020, M, 7.41, 80775.00, 39.13
Sikkim, 31-10-2020, M, 0.00, 88025.00, 39.22
Sikkim, 30-11-2020, M, 0.00, 104906.00, 46.43
Sikkim, 31-12-2020, M, 2.00, 96937.00, 43.48
Sikkim, 31-01-2021, M, 0.00, 93210.00, 40.69
Sikkim, 31-03-2021, M, 0.00, 116051.00, 50.00
Sikkim, 30-04-2021, M, 5.26, 85836.00, 38.78
Sikkim, 31-05-2021, M, 0.00, 93425.00, 39.71
Sikkim, 31-07-2021, M, 0.00, 115815.00, 48.55
Sikkim, 31-08-2021, M, 0.00, 90575.00, 37.70
Tamil Nadu, 30-09-2020, M, 3.21, 10494014.00, 33.05
Tamil Nadu, 31-10-2020, M, 3.51, 10612829.00, 33.47
Tamil Nadu, 30-11-2020, M, 0.55, 10601190.00, 32.38
Tamil Nadu, 31-12-2020, M, 0.00, 11538573.00, 34.99
Tamil Nadu, 31-01-2021, M, 4.96, 10267926.00, 32.70
Tamil Nadu, 28-02-2021, M, 7.27, 10495559.00, 34.21
Tamil Nadu, 31-03-2021, M, 3.44, 10495243.00, 32.79
Tamil Nadu, 30-04-2021, M, 3.39, 11135022.00, 34.71
Tamil Nadu, 31-05-2021, M, 25.70, 6581368.00, 26.63
Tamil Nadu, 30-06-2021, M, 13.24, 9168790.00, 31.72
Tamil Nadu, 31-07-2021, M, 5.52, 10562575.00, 33.49
Tamil Nadu, 31-08-2021, M, 7.68, 10974276.00, 35.55
Telangana, 30-09-2020, M, 1.48, 5489576.00, 42.38
Telangana, 31-10-2020, M, 3.88, 5155565.00, 40.70
Telangana, 30-11-2020, M, 1.36, 5262269.00, 40.39
Telangana, 31-12-2020, M, 8.26, 4682289.00, 38.55
Telangana, 31-01-2021, M, 3.00, 5083383.00, 39.49
Telangana, 28-02-2021, M, 4.98, 4993075.00, 39.51
Telangana, 31-03-2021, M, 3.25, 5193568.00, 40.26
Telangana, 30-04-2021, M, 7.00, 4857440.00, 39.08
Telangana, 31-05-2021, M, 4.15, 5301710.00, 41.29
Telangana, 30-06-2021, M, 5.64, 4961747.00, 39.16
Telangana, 31-07-2021, M, 3.97, 4944342.00, 38.25
Telangana, 31-08-2021, M, 8.91, 4902075.00, 39.89
Tripura, 30-09-2020, M, 12.56, 419661.00, 49.67
Tripura, 31-10-2020, M, 8.94, 400678.00, 45.43
Tripura, 30-11-2020, M, 12.83, 417509.00, 49.34
Tripura, 31-12-2020, M, 22.38, 396449.00, 52.50
Tripura, 31-01-2021, M, 12.75, 418240.00, 49.16
Tripura, 28-02-2021, M, 8.70, 415588.00, 46.58
Tripura, 31-03-2021, M, 14.29, 428836.00, 51.08
Tripura, 30-04-2021, M, 22.31, 404636.00, 53.06
Tripura, 31-05-2021, M, 15.00, 414657.00, 49.59
Tripura, 30-06-2021, M, 10.06, 426726.00, 48.12
Tripura, 31-07-2021, M, 13.71, 424244.00, 49.75
Tripura, 31-08-2021, M, 22.22, 413650.00, 53.69
Uttar Pradesh, 30-09-2020, M, 7.08, 13113776.00, 35.14
Uttar Pradesh, 31-10-2020, M, 5.44, 13464241.00, 35.37
Uttar Pradesh, 30-11-2020, M, 6.62, 13237684.00, 35.13
Uttar Pradesh, 31-12-2020, M, 13.82, 12820969.00, 36.78
Uttar Pradesh, 31-01-2021, M, 7.00, 13038532.00, 34.58
Uttar Pradesh, 28-02-2021, M, 5.57, 13044690.00, 34.00
Uttar Pradesh, 31-03-2021, M, 5.61, 13016655.00, 33.86
Uttar Pradesh, 30-04-2021, M, 10.35, 13043005.00, 35.65
Uttar Pradesh, 31-05-2021, M, 9.54, 13056758.00, 35.28
Uttar Pradesh, 30-06-2021, M, 6.08, 13008619.00, 33.78
Uttar Pradesh, 31-07-2021, M, 5.13, 13155478.00, 33.74
Uttar Pradesh, 31-08-2021, M, 10.26, 12743440.00, 34.46
Uttarakhand, 30-09-2020, M, 9.55, 780133.00, 29.24
Uttarakhand, 31-10-2020, M, 7.55, 956242.00, 34.97
Uttarakhand, 30-11-2020, M, 4.00, 874770.00, 30.73
Uttarakhand, 31-12-2020, M, 4.38, 835885.00, 29.40
Uttarakhand, 31-01-2021, M, 8.66, 744450.00, 27.34
Uttarakhand, 28-02-2021, M, 5.66, 969230.00, 34.38
Uttarakhand, 31-03-2021, M, 5.14, 845211.00, 29.74
Uttarakhand, 30-04-2021, M, 5.99, 820478.00, 29.05
Uttarakhand, 31-05-2021, M, 8.64, 777975.00, 28.27
Uttarakhand, 30-06-2021, M, 4.78, 970634.00, 33.76
Uttarakhand, 31-07-2021, M, 5.19, 844812.00, 29.43
Uttarakhand, 31-08-2021, M, 5.95, 825865.00, 28.92
West Bengal, 30-09-2020, M, 12.32, 10522496.00, 44.50
West Bengal, 31-10-2020, M, 9.60, 9942863.00, 40.71
West Bengal, 30-11-2020, M, 8.57, 10261530.00, 41.48
West Bengal, 31-12-2020, M, 7.17, 10552600.00, 41.94
West Bengal, 31-01-2021, M, 6.24, 10685903.00, 41.99
West Bengal, 28-02-2021, M, 5.90, 10846301.00, 42.40
West Bengal, 31-03-2021, M, 7.13, 10783038.00, 42.64
West Bengal, 30-04-2021, M, 7.92, 10972804.00, 43.70
West Bengal, 31-05-2021, M, 14.12, 9909402.00, 42.24
West Bengal, 30-06-2021, M, 14.88, 10660596.00, 45.78
West Bengal, 31-07-2021, M, 9.09, 10694075.00, 42.93
West Bengal, 31-08-2021, M, 9.15, 10882164.00, 43.64
India, 30-09-2020, M, 8.45, 121606147.00, 37.58
India, 31-10-2020, M, 7.18, 123304641.00, 37.51
India, 30-11-2020, M, 7.07, 122517114.00, 37.14
India, 31-12-2020, M, 8.84, 122353235.00, 37.73
India, 31-01-2021, M, 8.09, 123129476.00, 37.58
India, 28-02-2021, M, 6.99, 123701899.00, 37.23
India, 31-03-2021, M, 7.27, 122712948.00, 36.97
India, 30-04-2021, M, 9.78, 122151000.00, 37.74
India, 31-05-2021, M, 14.72, 112495744.00, 36.69
India, 30-06-2021, M, 10.08, 120210926.00, 37.11
India, 31-07-2021, M, 8.32, 123713310.00, 37.37
India, 31-08-2021, M, 9.78, 123583986.00, 37.86
